id,question,choice1,choice2,choice3,choice4,answer,point,title,explanation
323,"( ) from her appearance, I thought her a cabin attendant.",Judging,Considering,Looking,Judged,Judging,POINT083,慣用的な分詞構文,judging fromで「～から判断すると」という慣用的な分詞構文です。
324,"( ) the fact that I was tired, I managed to play the piano pretty well.",Considered,Given,Providing,Thinking,Given,POINT083,慣用的な分詞構文,givenは「～を考慮すると」という意味の前置詞的に使われる分詞です。
325,"All things (　　), we have done a good job.",consider,considering,to consider,considered,considered,POINT083,慣用的な分詞構文,all things considered「すべてを考慮すると」
326,"(　　) your love of the outdoors, I am really surprised that you decided to live in the city rather than in the countryside.",Considering,Considerate,Considered,Considerable,Considering,POINT083,慣用的な分詞構文,considering「〜を考慮すると」
327,"(　　) cars, I've got an environmentally-friendly one.",To be spoken,To talk,Speaking of,Talking to,Speaking of,POINT083,慣用的な分詞構文,Speaking of「〜といえば」
328,There was a road ( ) to the town on the other side of the river.,for leading,lead,leading,to lead,leading,POINT084,付帯状況を表すwith,現在分詞leadingが名詞roadを修飾。「町へ通じている道」という能動的な意味です。
329,"She stood there, with tears ( ) down her cheeks.",run,ran,running,were running,running,POINT084,付帯状況を表すwith,with + 目的語 + 現在分詞で付帯状況を表します。「涙が頬を流れながら」という意味です。
330,He listened to the music ( ) his eyes closed.,by,for,on,with,with,POINT084,付帯状況を表すwith,with + 目的語 + 過去分詞で付帯状況を表します。「目を閉じて」という意味です。
331,"With summer (　　), medical experts have made recommendations to prevent sunburn.",approaching,has approached,is approaching,approaches,approaching,POINT084,付帯状況を表すwith,「夏が近づいているので」付帯状況。
332,The thief was taken away with his (　　) behind his back.,tying hands,tied hands,hands tying,hands tied,hands tied,POINT084,付帯状況を表すwith,「手を縛られて」受動の関係。
333,This is a very ( ) story.,excite,exciting,excited,being excited,exciting,POINT085,形容詞になっちまった分詞,物や事が主語の場合は現在分詞（-ing）を使います。「わくわくさせる話」という意味でexcitingが正解です。
334,He looked so ( ) when he got his birthday present.,please,pleasant,pleased,pleasing,pleased,POINT085,形容詞になっちまった分詞,人が主語で感情を表す場合は過去分詞を使います。「喜んだ」という意味でpleasedが正解です。
335,"Judging from the look of the sky, it looks as if it ( ) going to snow.",will be,was,is,were,is,POINT086,直接法と仮定法,実現可能性が高い場合は直説法。雪が降りそうな様子。
336,"If I ( ) you, I would apologize to her immediately.",am,were,had been,would be,were,POINT087,仮定法過去（現在の妄想）,現在の事実に反する仮定。If I were youは定型表現。
337,"If he told the truth, they ( ) him.",were forgiving,would forgive,had forgiven,forgave,would forgive,POINT087,仮定法過去（現在の妄想）,If節が過去形なので主節はwould + 原形。
338,This computer would be perfect if it (　　) a little lighter.,were,has been,has,is,were,POINT087,仮定法過去（現在の妄想）,現在の事実に反する仮定。
339,"John (　　) the team if he had time, but he is really busy now.",have joined,joins,joined,would join,would join,POINT087,仮定法過去（現在の妄想）,現在の仮定法。if節が省略。
340,"If I had known that film was on last week, I ( ) it.",had seen,might see,would have seen,would see,would have seen,POINT088,仮定法過去完了（過去の妄想）,過去の事実に反する仮定。If節が過去完了、主節はwould have + 過去分詞。
341,"If I had known you were already here waiting, I ( ) earlier.",could not come,would have come,should not come,had come,would have come,POINT088,仮定法過去完了（過去の妄想）,「知っていたら早く来たのに」過去の事実に反する仮定。
342,"If I ( ) well last night, (I would not feel so sleepy now).",sleep,slept,have slept,had slept,had slept,POINT088,仮定法過去完了（過去の妄想）,過去の条件（昨夜）が現在の結果（今眠い）に影響。If節は過去完了。
343,"If I (　　) harder, I could have played the violin better.",have practiced,will practice,had practiced,practice,had practiced,POINT088,仮定法過去完了（過去の妄想）,過去の事実に反する仮定。
344,"If we had known about his busy schedule, we (　　) the meeting.",would have put off,have put off,would put off,put off,would have put off,POINT088,仮定法過去完了（過去の妄想）,過去の事実に反する仮定の帰結。
345,I wish ( ) enough money to buy the computer game.,having,having had,I had,I will have,I had,POINT089,wishとas ifを用いた仮定法,現在の願望。wish + 主語 + 過去形。
346,I can't hear him. I wish he ( ) a little louder.,would speak,will speak,speaks,can speak,would speak,POINT089,wishとas ifを用いた仮定法,「〜してくれたらなあ」という願望。
347,I wish I ( ) rich at that time.,had been,have been,were,would be,had been,POINT089,wishとas ifを用いた仮定法,過去の事実に反する願望。「あの時金持ちだったらなあ」
348,He talks as if he ( ) everything.,knew,knows,know,known,knew,POINT089,wishとas ifを用いた仮定法,「まるで〜のように」現在の事実に反する内容は過去形。
349,He wishes he (　　) somewhere more exciting.,lived,lives,live,to has lived,lived,POINT089,wishとas ifを用いた仮定法,現在の願望は過去形。
350,I wish I (　　) enough money to buy the house around this time last year.,should have,had,had had,could have,had had,POINT089,wishとas ifを用いた仮定法,過去の願望は過去完了。
351,I wish he (　　) more quickly.,will work,would work,is working,has worked,would work,POINT089,wishとas ifを用いた仮定法,「〜してくれたらなあ」
352,"Although we met today for the first time, I feel as if you (　　) my old friend.",would be,seem,were,have been,were,POINT089,wishとas ifを用いた仮定法,現在の事実に反する内容。
353,"Don't worry about my job interview tomorrow. If I ( ), I will try again.",would fail,should fail,could fail,will have failed,should fail,POINT090,未来の妄想,shouldは「万一〜したら」の意味。未来の可能性の低い仮定。
354,"If you were to fall from that bridge, it ( ) almost impossible to rescue you.",is,was,would be,would have been,would be,POINT090,未来の妄想,「もし〜することになったら」実現可能性の低い未来の仮定。
355,"I don't think he will stop by my office. But if he (　　) while I'm out, give him more information about that.",came,will come,had come,should come,should come,POINT090,未来の妄想,「万一〜したら」可能性の低い仮定。
356,"If ( ) computers, our lives would be much more inconvenient.",it is not for,is it not for,it were not for,were it not for,it were not for,POINT091,ifの省略,「〜がなければ」現在の仮定法。
357,"( ) for the ice age, dinosaurs might not have died out.",If it isn't,If it had not been,Without,Despite,If it had not been,POINT091,ifの省略,「〜がなかったら」過去の仮定法。But forも可。
358,"( ) the greenhouse effect, the climate on the earth would be much colder.",Without,Against,At,To,Without,POINT091,ifの省略,「〜がなければ」前置詞を使った仮定法。
359,"( ) a little more effort, he would have been a member of our team.",For,But for,If any,With,With,POINT091,ifの省略,「〜があれば」前置詞を使った仮定法。もう少し努力があれば。
360,"( ) I a rich man, I would buy the house.",If,Were,Had,Was,Were,POINT091,ifの省略,Were I = If I were。ifを省略して倒置。
361,"( ) that you were there, we would have written you a letter.",Had we known,If we knew,We had known,If we were known,Had we known,POINT091,ifの省略,Had we known = If we had known。
362,"( ) for your support, our company couldn't survive.",It were not,Were it not,Without,Had it not,Were it not,POINT091,ifの省略,Were it not for = If it were not for。
363,"( ) he need more information, there are plenty of good manuals available.",Did,Had,If,Should,Should,POINT091,ifの省略,「万一〜なら」Should he need = If he should need。
364,"( ) wise, he would not say such a thing in company.",Though he is,Suppose he,As he was,If he were,If he were,POINT091,ifの省略,If he were wise の省略形。
365,"I ran all the way, because I would have been late ( ).",anyway,likewise,nevertheless,otherwise,otherwise,POINT091,ifの省略,「さもなければ」仮定法の意味を含む副詞。
366,"( ) him speak in French, you would think him a Frenchman.",Heard,To hear,Hear,To hearing,To hear,POINT091,ifの省略,To hear = If you were to hear。「聞いたら」
367,"(　　) in her position, I would decline the offer.",Were I,If I had,If I have been,If were I,Were I,POINT091,ifの省略,Were I = If I were。
368,"(　　) what you were intending to do, I would have stopped you.",Have I realized,If I realize,If I would realize,Had I realized,Had I realized,POINT091,ifの省略,Had I realized = If I had realized。
369,"(　　) you happen to meet them, please give them my best regards.",Shall,Will,Would,Should,Should,POINT091,ifの省略,「万一〜したら」
370,"If it (　　) your help, I should have given up.",were not,were without,had not been,had not been for,had not been for,POINT092,if節を使わない仮定法表現,「〜がなかったら」過去の仮定。
371,"(　　) the traffic accident, we would have arrived earlier.",The same as,Just only,Out of,But for,But for,POINT092,if節を使わない仮定法表現,「〜がなければ」前置詞を使った仮定法。
372,"(　　) a little more support from the government, the African children would have survived.",With,For,But,Thanks to,With,POINT092,if節を使わない仮定法表現,「〜があれば」Withで条件を表す。
373,"We went by taxi; (　　), we would have been late.",otherwise,therefore,instead,in particular,otherwise,POINT092,if節を使わない仮定法表現,「さもなければ」仮定法の意味。
374,"(a) If it had not been for your advice, I would have failed. (b) (　　) your advice, I would have failed.",For,With,Without,Except,Without,POINT092,if節を使わない仮定法表現,Without = If it had not been for。
375,"(a) To see us walking together, they would take you for my sister. (b) If (　　) us walking together, they would take you for my sister.",they will see,they have seen,they saw,they would see,they saw,POINT092,if節を使わない仮定法表現,To see = If they saw。
376,It is time you ( ) to study.,begin,began,will begin,had begun,began,POINT093,仮定法を使った慣用表現,「〜する時間だ」It is time + 主語 + 過去形。
377,( ) I knew her telephone number.,As to,If only,If ever,In that,If only,POINT093,仮定法を使った慣用表現,「〜でありさえすれば」強い願望を表す。
378,I'd rather you ( ) me. I can do it all by myself.,didn't help,won't help,have not helped,were helping,didn't help,POINT093,仮定法を使った慣用表現,「むしろ〜してもらいたい」I'd rather + 主語 + 過去形。
379,(　　) I had studied English much harder when I was young!,What if,Wishing,If only,How,If only,POINT093,仮定法を使った慣用表現,「〜でありさえすれば」強い願望。
380,"""May I smoke here?"" ""I'd rather (　　).""",you won't,you didn't,for you not to,you not to,you didn't,POINT093,仮定法を使った慣用表現,「むしろ〜してもらいたくない」
381,It's time you (　　) those trousers.,are washing,wash,washed,had washed,washed,POINT093,仮定法を使った慣用表現,「〜する時間だ」過去形を使う。
382,It is (　　) time they came to the conclusion that he is guilty.,long,tall,high,large,high,POINT093,仮定法を使った慣用表現,「とっくに〜すべき時だ」
383,"If you had taken my advice at that time, you (　　) more successful now.",are,would be,would have been,will have been,would be,POINT094,仮定法ミックス（過去に～だったら、いま…なのになぁ）,過去の条件が現在の結果に影響。
384,"If I (　　) him that day, my life would be totally different now.",don't meet,didn't meet,hadn't met,would meet,hadn't met,POINT094,仮定法ミックス（過去に～だったら、いま…なのになぁ）,過去の条件（that day）が現在に影響。
385,The king had a daughter ( ) was very beautiful.,who,whose,whom,those who,who,POINT095,関係代名詞の基本,人が先行詞で主語の働き。
386,I have a friend ( ) father runs a very nice restaurant in this town.,his,that,who,whose,whose,POINT095,関係代名詞の基本,「その人の父親」所有を表すwhose。
387,The gas heater ( ) he bought was cheap.,who,which,whose,whom,which,POINT095,関係代名詞の基本,物が先行詞。which/thatが可能。
388,The shoes ( ) look rather expensive.,are wearing,you are wearing,that are wearing,that you wearing,you are wearing,POINT095,関係代名詞の基本,目的格の関係代名詞は省略可能。
389,That was the man (　　) did it.,as,whose,whom,who,who,POINT095,関係代名詞の基本,人が先行詞で主語の働き。
390,"""Why is the bus late?"" ""It crashed into a car (　　) came speeding down the hill.""",which,what,who,whose,which,POINT095,関係代名詞の基本,物が先行詞で主語の働き。
391,Global warming is an important issue (　　) we have to discuss more seriously.,how,which,why,what,which,POINT095,関係代名詞の基本,discussの目的語。
392,Are you the boy (　　) bicycle was stolen?,who,his,whose,your,whose,POINT095,関係代名詞の基本,「その少年の自転車」所有。
393,You should avoid using technical terms (　　) meanings you don't understand very well.,whose,which,who,what,whose,POINT095,関係代名詞の基本,「その用語の意味」
394,Soseki Natsume is a man ( ) I have the greatest respect.,whom,with whom,for whom,of whom,for whom,POINT097,前置詞と関係代名詞,have respect for → for whom。
395,( ) last night wasn't very comfortable.,The bed I slept,The bed in that I slept,The bed I slept in,The bed in I slept,The bed I slept in,POINT097,前置詞と関係代名詞,sleep in the bed → The bed I slept in。
396,Are there any good tools ( ) to fix the broken desk?,with how,which,how,with which,with which,POINT097,前置詞と関係代名詞,fix with tools → tools with which to fix。
397,These are the tools (　　) he built his own house.,which,that,with which,with that,with which,POINT097,前置詞と関係代名詞,build with tools。thatは前置詞の後に不可。
398,An important aspect of computer languages is the way (　　) they handle data items and structures.,in which,in whom,for that,for which,in which,POINT097,前置詞と関係代名詞,「〜する方法」= the way how（×）
399,The day will come ( ) you will realize it.,how,which,what,when,when,POINT098,関係副詞when,時を表す先行詞。on which = when。
400,Summer is the season (　　) students want to travel most.,with whom,when,which,where,when,POINT098,関係副詞when,時を表す先行詞。in which = when。
401,Please tell me the reason ( ) you do not eat meat.,when,which,in which,why,why,POINT099,関係副詞whyとhow,理由を表す先行詞。for which = why。
402,This is ( ) I learned to write a novel.,that,whom,how,who,how,POINT099,関係副詞whyとhow,「〜の方法」the way howとは言わない。
403,Michael works very hard. That's ( ) I respect him.,how,the person,the thing,why,why,POINT099,関係副詞whyとhow,「それが〜する理由だ」
404,He has been in hospital for two weeks. That's (　　) he can't come today.,because,the way,why,how,why,POINT100,先行詞を省略できるケース,「それが〜する理由だ」
405,"That cottage, ( ) cost 20 million yen to build, has not been used for years.",that,what,which,where,which,POINT102,非制限用法の使い方,カンマがあるのでthatは不可。whichを使う。
406,"There are thirty students in the class, most of ( ) study hard.",who,which,whom,them,whom,POINT102,非制限用法の使い方,most of whomで「その大部分が」
407,"I got off the bus at Greenhill, ( ) I found my boyfriend Tom waiting for me.",which,where,why,what,where,POINT102,非制限用法の使い方,場所を示す。and thereの意味。
408,"The typhoon suddenly became weaker, ( ) was good news for the village.",it,that,what,which,which,POINT102,非制限用法の使い方,前の文全体を先行詞とする。
409,"The professor signaled him to approach, ( ) he did.",whom,which,but,where,which,POINT102,非制限用法の使い方,approachという動作を受ける。
410,"He was advised to go there on foot, ( ) he followed.",which advice,whose advice,what advice,,which advice,POINT102,非制限用法の使い方,「その助言」which adviceで受ける。
411,"He lent me The Lord of the Rings, (　　) I found very interesting.",what,that,which,where,which,POINT102,非制限用法の使い方,カンマがあるのでwhich。
412,"Soseki Natsume, (　　) wrote Kokoro and Botchan, was born in 1867.",whom,whose,of which,who,who,POINT102,非制限用法の使い方,人が先行詞で主語。
413,"The movie star, (　　) Mary wrote a letter, never answered.",who,that,whose,to whom,to whom,POINT102,非制限用法の使い方,write a letter to。
414,"He bought a cottage in the countryside, (　　) he spent the last days of his life.",which,where,when,why,where,POINT102,非制限用法の使い方,場所を示す。
415,"Tom has three daughters, all (　　) live in different cities in Japan.",of whom,whom,of who,who,of whom,POINT102,非制限用法の使い方,all of whom「その全員が」
416,"They spoke only English and French, neither of (　　) she understood.",that,which,what,whose,which,POINT102,非制限用法の使い方,neither of which「そのどちらも」
417,"He learned to speak fluent Japanese in only one year, (　　) surprised me.",who,it,that,which,which,POINT102,非制限用法の使い方,前の文全体が先行詞。
418,"She tried to swim across the river, (　　) was impossible to do.",that,which,where,on which,which,POINT102,非制限用法の使い方,前の内容を受ける。
419,"Please come at noon, (　　) I will be back in my office.",by which time,during,by time,by its time,by which time,POINT102,非制限用法の使い方,「その時までには」
420,I would like to live in a country ( ) there is plenty of sunshine.,which,that,where,what,where,POINT103,関係副詞where,場所を表す先行詞。in which = where。
421,London is a city ( ) I have always wanted to visit.,where,which,in which,to which,which,POINT103,関係副詞where,visitは他動詞なので目的格のwhich。
422,There are numerous cases ( ) Japanese modesty causes misunderstanding.,which,what,where,how,where,POINT103,関係副詞where,case「場合」は抽象的な場所。
423,Put the book back to ( ) it was when you're through with it.,which,how,where,what,where,POINT103,関係副詞where,元の場所へ。
424,Please tell me the name of the shop (　　) you bought that camera.,which,where,why,that,where,POINT103,関係副詞where,場所を表す先行詞。at which = where。
425,This is the museum (　　) my grandfather visited fifty years ago.,to which,where,at which,which,which,POINT103,関係副詞where,visitは他動詞なので目的格which。
426,( ) you should have done is call the police.,That,Who,Why,What,What,POINT104,関係詞代名詞what,「〜すること」先行詞を含む関係代名詞。
427,I didn't buy anything because I didn't see ( ) I wanted.,who,whose,which,what,what,POINT104,関係詞代名詞what,「欲しいもの」the thing whichの意味。
428,That's just ( ) I've always wanted to eat.,which,things,what,food,what,POINT104,関係詞代名詞what,「ずっと食べたかったもの」
429,I'll give you ( ) little money I have now.,what,what a,how,how a,what,POINT104,関係詞代名詞what,「わずかながら持っているお金」whatever的用法。
430,He has made me ( ) I am today.,what,which,whom,that,what,POINT104,関係詞代名詞what,「今日の私」make + O + C構文。
431,(　　) matters most to him is where he works after graduation.,How,The thing,What,When,What,POINT104,関係詞代名詞what,「〜すること」主語。
432,A large portion of (　　) the Japanese eat every day is imported from other countries.,where,that,what,which,what,POINT104,関係詞代名詞what,「日本人が食べるもの」
433,The scenery around here is quite different from ( ) to be.,what it was used,what it is now,what was once used,what it used,what it used,POINT105,関係詞代名詞whatを用いた慣用表現,「以前の様子」used to beの前にwhat。
434,"He is a famous scholar, and ( ) is more, he is a talented poet.",what,who,that,which,what,POINT105,関係詞代名詞whatを用いた慣用表現,「さらに」慣用表現。
435,"It began to rain, and ( ) was worse, we lost our way in the dark.",it,which,such,what,what,POINT105,関係詞代名詞whatを用いた慣用表現,「さらに悪いことに」慣用表現。
436,Bill is ( ) a walking dictionary.,what is called,what to say,that is said,that is called,what is called,POINT105,関係詞代名詞whatを用いた慣用表現,「いわゆる」慣用表現。
437,Food is to the body ( ) reading is to the mind.,when,what,that,which,what,POINT105,関係詞代名詞whatを用いた慣用表現,「AのBに対する関係はCのDに対する関係と同じ」
438,I sent my brother living in the countryside (　　) little money I had at that time.,where,whom,which,what,what,POINT105,関係詞代名詞whatを用いた慣用表現,「わずかながら持っていたお金」
439,"Without American influences, Japanese culture would not be (　　) it is today.",which,what,when,that,what,POINT105,関係詞代名詞whatを用いた慣用表現,「今日の姿」補語。
440,This town is very different from (　　) it was twenty years ago.,what,which,when,that,what,POINT105,関係詞代名詞whatを用いた慣用表現,「20年前の様子」
441,John is (　　) is called a man of culture.,which,who,what,that,what,POINT105,関係詞代名詞whatを用いた慣用表現,「いわゆる」慣用表現。
442,"It was cold, and (　　) was worse, the heater broke down.",but,that,whatever,what,what,POINT105,関係詞代名詞whatを用いた慣用表現,「さらに悪いことに」
443,"He is a famous scholar, and (　　) is more, he is a talented poet.",what,who,which,that,what,POINT105,関係詞代名詞whatを用いた慣用表現,「さらに」慣用表現。
444,She will give the message to ( ) comes to her office.,whoever,whomever,whichever,whatever,whoever,POINT106,複合関係詞の概要,「〜する人は誰でも」主語なのでwhoever。
445,You may order ( ) you want.,whatever,however,for which,of which,whatever,POINT106,複合関係詞の概要,「欲しいものは何でも」
446,"She looks pretty, ( ) she wears.",wherever,whenever,whatever,however,whatever,POINT106,複合関係詞の概要,「何を着ても」= no matter what。
447,You have to be able to blend in completely with ( ) situation you are in.,however,whatever,whenever,wherever,whatever,POINT106,複合関係詞の概要,「どんな状況でも」
448,"( ) asked Michael about the matter, he wouldn't say a word.",Anyone,Even if,However,Whoever,Whoever,POINT106,複合関係詞の概要,「誰が尋ねても」= No matter who。
449,You may come ( ) it is convenient.,whenever,whichever,whomever,whatever,whenever,POINT106,複合関係詞の概要,「都合の良い時はいつでも」
450,"( ) he may go, he will be successful.",How,Wherever,However,Where,Wherever,POINT106,複合関係詞の概要,「どこへ行っても」= No matter where。
451,You should give this CD to (　　) wants it.,whoever,who,whomever,whom,whoever,POINT106,複合関係詞の概要,「欲しい人は誰でも」主語。
452,Jane always agrees with (　　) her sister tells her to do.,whichever,whenever,whatever,wherever,whatever,POINT106,複合関係詞の概要,「何でも」目的語。
453,"(　　) you do, don't use your left hand to offer or take things when you're in Indonesia.",Whatever,Anything,However,Whichever,Whatever,POINT106,複合関係詞の概要,「何をするにしても」
454,We are in a difficult position (　　) decision we make.,where,whichever,whoever,what,whichever,POINT106,複合関係詞の概要,「どちらの決定をしても」
455,Tim accompanies his five-year-old daughter (　　) she has to go somewhere.,whatever,whomever,whichever,whenever,whenever,POINT106,複合関係詞の概要,「〜する時はいつでも」
456,"( ) he may work, he will not be able to pass the test.",Whichever,No matter what,Whatever hard,However hard,However hard,POINT108,副詞節（譲歩）を作る複合関係代名詞②,「どんなに一生懸命働いても」
457,Don't open the door to any stranger ( ) harmless he seems.,no matter how,how,no matter who,who,no matter how,POINT108,副詞節（譲歩）を作る複合関係代名詞②,「どんなに〜でも」= however。
458,"(　　), you should always check your answers again.",Whatever the test is easy,However easy the test is,Whatever easy the test is,However the test is easy,However easy the test is,POINT108,副詞節（譲歩）を作る複合関係代名詞②,「どんなに簡単でも」
459,There is no one ( ) has weaknesses.,but,who,that,than,but,POINT110,関係代名詞としてのthanとbut,「〜しない人はいない」二重否定。
460,"Even if you are ill, don't take more medicine ( ).",than is necessary,than necessary is,than necessary it is,than is it necessary,than is necessary,POINT110,関係代名詞としてのthanとbut,「必要以上に」比較の慣用表現。
461,"Pets should not be given more food (　　) they need. Otherwise, they will gain too much weight.",than,which,what,that,than,POINT110,関係代名詞としてのthanとbut,more...than構文の一部。
462,I can't trust ( ) men as praise me to my face.,who,big,no,such,such,POINT111,関係代名詞としてのas,「〜のような」such + 名詞 + as。
463,"( ) is often the case with him, he came late.",As,Which,It,What,As,POINT111,関係代名詞としてのas,「よくあることだが」慣用表現。
464,This is a game ( ) I am quite ignorant of.,which rules,what rules,the rules of which,of whose rules,the rules of which,POINT112,マニア向け関係代名詞,be ignorant of the rules → the rules of which。
465,I met a girl ( ) I thought was your sister.,which,who,what,whom,who,POINT112,マニア向け関係代名詞,I thoughtが挿入。whoは主格。
466,There was no objection from the man (　　) I thought was sure to protest.,who,whom,by whom,of whom,who,POINT112,マニア向け関係代名詞,I thoughtが挿入。whoは主格。
467,Mary is ( ) Jane.,not as young as,as old as,also old,,as old as,POINT113,原級比較の基本,「同じくらい〜」同年齢 = 同じくらい年を取っている。
468,The climate of England is ( ) that of Japan.,so mild as,not as mild so,not so mild as,as mild as,not so mild as,POINT113,原級比較の基本,「〜ほど〜でない」否定文ではsoも可。
469,Susan read the book ( ).,as carefully as she can,as carefully as she could,as she can as carefully,as she could as carefully,as carefully as she could,POINT113,原級比較の基本,副詞は第1のasの後に置く。時制の一致でcould。
470,The crowd was surprised to see that a seven-year-old boy was able to swim as (　　) the teenagers.,faster so,faster than,fast still,fast as,fast as,POINT113,原級比較の基本,「〜と同じくらい速く」
471,Travelling into the city center is as convenient by subway (　　) by bus.,as it is,than it is,compared to,instead of,as it is,POINT113,原級比較の基本,「バスと同じくらい便利」
472,Read this book (　　).,as carefully as you possible,so carefully as you can,so carefully as possible,as carefully as you can,as carefully as you can,POINT113,原級比較の基本,1つめのasの直後に形容詞or副詞が入る
473,His farm is more than ( ) mine and grows a wider variety of crops.,twice larger than,as large twice as,as twice large as,twice as large as,twice as large as,POINT114,asの倍数表現,倍数 + as...as。2倍以上の大きさ。
474,He has three times ( ) as I used to.,many books,more books,many as books,as many books,as many books,POINT114,asの倍数表現,three times as many books as。
475,His luggage is twice the ( ) of mine.,heavy,size,large,small,size,POINT114,asの倍数表現,twice the size/weight/length等。
476,Traveling by air costs (　　) taking the train.,as much twice as,twice as much as,as much as twice,as twice much as,twice as much as,POINT114,asの倍数表現,倍数 + as...as。
477,"Carol is the daughter of a luxury hotel owner, and last month she bought a sports car which was (　　) as mine.",more ten times expensive,as ten times expensive,ten times as expensive,ten times more expensive,ten times as expensive,POINT114,asの倍数表現,10倍の値段。
478,Our new computer is almost (　　) conventional ones.,half size,half the size of,the half size,half of the size,half the size of,POINT114,asの倍数表現,half the size of。
479,He told me to run as fast as I ( ).,should,would,might,could,could,POINT115,asを用いた慣用表現①,as…as possible=as…as I can/could
480,He works hard ( ) for his own success as for his employees' welfare.,so as not,still watching,as opposed,not so much,not so much,POINT115,asを用いた慣用表現①,「AというよりむしろB」
481,The ten-year-old boy cannot so ( ) as sign his name.,far,good,long,much,much,POINT115,asを用いた慣用表現①,「〜さえできない」= cannot even。
482,Henry left the room without ( ) saying good-bye to us.,so long as,so many as,so far as,so much as,so much as,POINT115,asを用いた慣用表現①,「〜さえしないで」
483,"We didn't want to go home, so we killed (　　) at the restaurant.",as much as time,as much time as possible,many time as we liked,time as much as possible,as much time as possible,POINT115,asを用いた慣用表現①,「できるだけ多くの時間」
484,He did not (　　) a word of thanks when I helped him with his assignment.,so much as say,so to say,say so much,much as say as,so much as say,POINT115,asを用いた慣用表現①,「〜さえしない」
485,The angry person went away without so much (　　) some apologetic words.,saying about,saying,as saying,in saying,as saying,POINT115,asを用いた慣用表現①,「〜さえしないで」
486,Tom as well as I ( ) ignorant of the matter.,am,is,are,be,is,POINT116,asを用いた慣用表現②,主語はA。動詞はAに一致。Tomが主語。
487,The man who stops learning is as ( ) as dead.,much,good,soon,far,good,POINT116,asを用いた慣用表現②,「〜も同然」= practically。
488,There were ten accidents in ( ) days.,all,as many,like so many,the same,as many,POINT116,asを用いた慣用表現②,「同数の」10日間に10件 = 同じ数。
489,( ) 20 flights were cancelled due to the heavy storm.,As long as,As many as,As much as,As soon as,As many as,POINT117,asを用いた慣用表現③,「〜も（の多さ）」数の強調。
490,"In Japan, a beautiful city was built as ( ) as the eighth century.",far,long,early,late,early,POINT117,asを用いた慣用表現③,「〜も早く」時期の早さを強調。
491,The temperature today fell as ( ) as 5℃.,low,small,cold,short,low,POINT117,asを用いた慣用表現③,「〜も低く」温度が下がる。
492,He is ( ) as any.,such a great scholar,so great a scholar,as great a scholar,as a great scholar,as great a scholar,POINT117,asを用いた慣用表現③,「誰にも劣らない偉大な学者」
493,This book was as ( ) as I've ever read.,a most interesting book,interesting a book,most interesting a book,an interesting book,interesting a book,POINT117,asを用いた慣用表現③,興味深い本。
494,He is (　　) diligent a man as ever lived.,more,such,as,very,as,POINT117,asを用いた慣用表現③,「これまでに生きた中で最も勤勉な」
495,This is as difficult a task as (　　) I have ever faced.,every,none,much,any,any,POINT117,asを用いた慣用表現③,「今までで最も困難な」
496,We were surprised to hear that (　　) 200 people attended the lecture.,as many as,so much as,so many,as much,as many as,POINT117,asを用いた慣用表現③,「〜も（多数）」数の強調。
497,"In some parts of the world, people working six or seven days a week make (　　) four dollars.",many as,as little as,as few as,little as,as little as,POINT117,asを用いた慣用表現③,「わずか〜」少額の強調。
498,They invented printing as (　　) as the fifteenth century.,soon,fast,early,quickly,early,POINT117,asを用いた慣用表現③,「〜も早く」時期の早さ。
499,The Amazon is ( ) than the Mississippi.,the longest,as long,more longer,much longer,much longer,POINT119,差を具体的に表す比較級,much/far/evenで比較級を強調。
500,He ate far ( ) than usual yesterday.,many,more,much,well,more,POINT119,差を具体的に表す比較級,動詞を修飾する副詞のmore。
501,Mrs. Smith complained that she had ( ) problems than she used to.,much more,any more,many more,little more,many more,POINT119,差を具体的に表す比較級,可算名詞の比較級はmany more。
502,Jiro's car is (　　) more economical than my car.,so,much,too,very,much,POINT119,差を具体的に表す比較級,much/far/evenで強調。
503,We are now in the ( ) half of our training camp.,late,latter,later,last,latter,POINT121,不規則変化する形容詞・副詞,「後半」⇔ the former「前半」
504,She is ( ) happy than she used to be.,the less,least,the least,less,less,POINT122,lessを用いた比較級,「より〜でない」比較級の否定。
505,I think my girlfriend is ( ) than beautiful.,cuter,more cute,more cuter,cute,more cute,POINT123,比較級を用いた慣用表現①,「BというよりむしろA」cute rather than beautiful。
506,"She can't speak English, ( ) Greek.",still less,much more,as far,still more,still less,POINT123,比較級を用いた慣用表現①,「まして〜ない」否定文に続く。
507,You ought to know ( ) to spend lots of money on such worthless junk.,better than,as good as,no more than,more than,better than,POINT123,比較級を用いた慣用表現①,「〜するほど愚かではない」
508,He is (　　) than clever.,wiser,more wise,the most wise,wise,more wise,POINT123,比較級を用いた慣用表現①,「賢いというより知恵がある」
509,Naomi didn't realize the balloon was getting ( ).,larger and larger,larger and largest,more and more larger,much more larger,larger and larger,POINT124,比較級を用いた慣用表現②,「ますます〜」
510,I think she's ( ) finished it.,now and then,one after another,more or less,one by one,more or less,POINT124,比較級を用いた慣用表現②,「だいたい、ほぼ」
511,A space trip is ( ) just a fantastic dream.,any longer,before long,no longer,so long,no longer,POINT124,比較級を用いた慣用表現②,「もはや〜ない」
512,"( ), the better.",As soon as,Earlier,So soon,The sooner,The sooner,POINT125,比較級を用いた慣用表現③,「〜すればするほど」早ければ早いほど良い。
